"","Statistic","Year","Road.User.Type","Sex","Age.Group","value"
"7996","Killed Casualties (Number)","2010","Car passengers","Female","65 years and over",1
"7997","Injured Cassualties (Number)","2010","Car passengers","Female","65 years and over",96
"7998","All Killed and Injured Casualties (Number)","2010","Car passengers","Female","65 years and over",97
"7999","Killed Casualties (Number)","2011","Car passengers","Female","65 years and over",5
"8000","Injured Cassualties (Number)","2011","Car passengers","Female","65 years and over",78
"8001","All Killed and Injured Casualties (Number)","2011","Car passengers","Female","65 years and over",83
"8002","Killed Casualties (Number)","2012","Car passengers","Female","65 years and over",5
"8003","Injured Cassualties (Number)","2012","Car passengers","Female","65 years and over",88
"8004","All Killed and Injured Casualties (Number)","2012","Car passengers","Female","65 years and over",93
"8005","Killed Casualties (Number)","2013","Car passengers","Female","65 years and over",2
"8006","Injured Cassualties (Number)","2013","Car passengers","Female","65 years and over",75
"8007","All Killed and Injured Casualties (Number)","2013","Car passengers","Female","65 years and over",77
"8008","Killed Casualties (Number)","2014","Car passengers","Female","65 years and over",3
"8009","Injured Cassualties (Number)","2014","Car passengers","Female","65 years and over",107
"8010","All Killed and Injured Casualties (Number)","2014","Car passengers","Female","65 years and over",110
"8011","Killed Casualties (Number)","2015","Car passengers","Female","65 years and over",3
"8012","Injured Cassualties (Number)","2015","Car passengers","Female","65 years and over",98
"8013","All Killed and Injured Casualties (Number)","2015","Car passengers","Female","65 years and over",101
"8014","Killed Casualties (Number)","2016","Car passengers","Female","65 years and over",7
"8015","Injured Cassualties (Number)","2016","Car passengers","Female","65 years and over",103
"8016","All Killed and Injured Casualties (Number)","2016","Car passengers","Female","65 years and over",110
"8017","Killed Casualties (Number)","2017","Car passengers","Female","65 years and over",6
"8018","Injured Cassualties (Number)","2017","Car passengers","Female","65 years and over",95
"8019","All Killed and Injured Casualties (Number)","2017","Car passengers","Female","65 years and over",101
"8020","Killed Casualties (Number)","2018","Car passengers","Female","65 years and over",2
"8021","Injured Cassualties (Number)","2018","Car passengers","Female","65 years and over",113
"8022","All Killed and Injured Casualties (Number)","2018","Car passengers","Female","65 years and over",115
"8023","Killed Casualties (Number)","2005","Other road users","Female","65 years and over",0
"8024","Injured Cassualties (Number)","2005","Other road users","Female","65 years and over",10
"8025","All Killed and Injured Casualties (Number)","2005","Other road users","Female","65 years and over",10
"8026","Killed Casualties (Number)","2006","Other road users","Female","65 years and over",1
"8027","Injured Cassualties (Number)","2006","Other road users","Female","65 years and over",15
"8028","All Killed and Injured Casualties (Number)","2006","Other road users","Female","65 years and over",16
"8029","Killed Casualties (Number)","2007","Other road users","Female","65 years and over",0
"8030","Injured Cassualties (Number)","2007","Other road users","Female","65 years and over",9
"8031","All Killed and Injured Casualties (Number)","2007","Other road users","Female","65 years and over",9
"8032","Killed Casualties (Number)","2008","Other road users","Female","65 years and over",0
"8033","Injured Cassualties (Number)","2008","Other road users","Female","65 years and over",7
"8034","All Killed and Injured Casualties (Number)","2008","Other road users","Female","65 years and over",7
"8035","Killed Casualties (Number)","2009","Other road users","Female","65 years and over",0
"8036","Injured Cassualties (Number)","2009","Other road users","Female","65 years and over",8
"8037","All Killed and Injured Casualties (Number)","2009","Other road users","Female","65 years and over",8
"8038","Killed Casualties (Number)","2010","Other road users","Female","65 years and over",0
"8039","Injured Cassualties (Number)","2010","Other road users","Female","65 years and over",6
"8040","All Killed and Injured Casualties (Number)","2010","Other road users","Female","65 years and over",6
"8041","Killed Casualties (Number)","2011","Other road users","Female","65 years and over",0
"8042","Injured Cassualties (Number)","2011","Other road users","Female","65 years and over",7
"8043","All Killed and Injured Casualties (Number)","2011","Other road users","Female","65 years and over",7
"8044","Killed Casualties (Number)","2012","Other road users","Female","65 years and over",1
"8045","Injured Cassualties (Number)","2012","Other road users","Female","65 years and over",10
"8046","All Killed and Injured Casualties (Number)","2012","Other road users","Female","65 years and over",11
"8047","Killed Casualties (Number)","2013","Other road users","Female","65 years and over",0
"8048","Injured Cassualties (Number)","2013","Other road users","Female","65 years and over",5
"8049","All Killed and Injured Casualties (Number)","2013","Other road users","Female","65 years and over",5
"8050","Killed Casualties (Number)","2014","Other road users","Female","65 years and over",0
"8051","Injured Cassualties (Number)","2014","Other road users","Female","65 years and over",11
"8052","All Killed and Injured Casualties (Number)","2014","Other road users","Female","65 years and over",11
"8053","Killed Casualties (Number)","2015","Other road users","Female","65 years and over",0
"8054","Injured Cassualties (Number)","2015","Other road users","Female","65 years and over",5
"8055","All Killed and Injured Casualties (Number)","2015","Other road users","Female","65 years and over",5
"8056","Killed Casualties (Number)","2016","Other road users","Female","65 years and over",0
"8057","Injured Cassualties (Number)","2016","Other road users","Female","65 years and over",8
"8058","All Killed and Injured Casualties (Number)","2016","Other road users","Female","65 years and over",8
"8059","Killed Casualties (Number)","2017","Other road users","Female","65 years and over",0
"8060","Injured Cassualties (Number)","2017","Other road users","Female","65 years and over",3
"8061","All Killed and Injured Casualties (Number)","2017","Other road users","Female","65 years and over",3
"8062","Killed Casualties (Number)","2018","Other road users","Female","65 years and over",0
"8063","Injured Cassualties (Number)","2018","Other road users","Female","65 years and over",22
"8064","All Killed and Injured Casualties (Number)","2018","Other road users","Female","65 years and over",22
"8065","Killed Casualties (Number)","2005","All road users","Male","Age unknown",1
"8066","Injured Cassualties (Number)","2005","All road users","Male","Age unknown",129
"8067","All Killed and Injured Casualties (Number)","2005","All road users","Male","Age unknown",130
"8068","Killed Casualties (Number)","2006","All road users","Male","Age unknown",0
"8069","Injured Cassualties (Number)","2006","All road users","Male","Age unknown",135
"8070","All Killed and Injured Casualties (Number)","2006","All road users","Male","Age unknown",135
"8071","Killed Casualties (Number)","2007","All road users","Male","Age unknown",5
"8072","Injured Cassualties (Number)","2007","All road users","Male","Age unknown",78
"8073","All Killed and Injured Casualties (Number)","2007","All road users","Male","Age unknown",83
"8074","Killed Casualties (Number)","2008","All road users","Male","Age unknown",1
"8075","Injured Cassualties (Number)","2008","All road users","Male","Age unknown",574
"8076","All Killed and Injured Casualties (Number)","2008","All road users","Male","Age unknown",575
"8077","Killed Casualties (Number)","2009","All road users","Male","Age unknown",0
"8078","Injured Cassualties (Number)","2009","All road users","Male","Age unknown",165
"8079","All Killed and Injured Casualties (Number)","2009","All road users","Male","Age unknown",165
"8080","Killed Casualties (Number)","2010","All road users","Male","Age unknown",0
"8081","Injured Cassualties (Number)","2010","All road users","Male","Age unknown",42
"8082","All Killed and Injured Casualties (Number)","2010","All road users","Male","Age unknown",42
"8083","Killed Casualties (Number)","2011","All road users","Male","Age unknown",0
"8084","Injured Cassualties (Number)","2011","All road users","Male","Age unknown",46
"8085","All Killed and Injured Casualties (Number)","2011","All road users","Male","Age unknown",46
"8086","Killed Casualties (Number)","2012","All road users","Male","Age unknown",0
"8087","Injured Cassualties (Number)","2012","All road users","Male","Age unknown",46
"8088","All Killed and Injured Casualties (Number)","2012","All road users","Male","Age unknown",46
"8089","Killed Casualties (Number)","2013","All road users","Male","Age unknown",0
"8090","Injured Cassualties (Number)","2013","All road users","Male","Age unknown",40
"8091","All Killed and Injured Casualties (Number)","2013","All road users","Male","Age unknown",40
"8092","Killed Casualties (Number)","2014","All road users","Male","Age unknown",1
"8093","Injured Cassualties (Number)","2014","All road users","Male","Age unknown",37
"8094","All Killed and Injured Casualties (Number)","2014","All road users","Male","Age unknown",38
"8095","Killed Casualties (Number)","2015","All road users","Male","Age unknown",0
"8096","Injured Cassualties (Number)","2015","All road users","Male","Age unknown",19
"8097","All Killed and Injured Casualties (Number)","2015","All road users","Male","Age unknown",19
